office_id,name,company_type,company,postcode,municipality,address_1,address_2,tel,fax,hp_address,office_no,manager_name,founding_day,traffic,home_helper_00,home_helper_01,home_helper_10,home_helper_11,clerk_00,clerk_01,clerk_10,clerk_11,otherwork_00,otherwork_01,otherwork_10,otherwork_11,l_care_worker_00,l_care_worker_01,l_care_worker_10,l_care_worker_11,l_practical_training_00,l_practical_training_01,l_practical_training_10,l_practical_training_11,l_care_basis_00,l_care_basis_01,l_care_basis_10,l_care_basis_11,l_home_helper1_00,l_home_helper1_01,l_home_helper1_10,l_home_helper1_11,l_home_helper2_00,l_home_helper2_01,l_home_helper2_10,l_home_helper2_11,l_home_helper_traning_00,l_home_helper_traning_01,l_home_helper_traning_10,l_home_helper_traning_11,office_time_week,office_time_sat,office_time_sun,office_time_hol,office_time_reghol,office_time_memo,service_time_week,service_time_sat,service_time_sun,service_time_hol,service_time_memo,service_area,sub_tokuteijigyosyo_1,sub_tokuteijigyosyo_2,sub_tokuteijigyosyo_3,sub_emergency_homecare,seikatsukinoukoujyourenkei,care_staff_improved_1,care_staff_improved_2,care_staff_improved_3,jyoukoukaigo,area_outside_price,cancel_price,user_charge_cut
52,しゃいん・さぽーと,ＮＰＯ,NPO法人シャイン・サポート,〒812-0041,福岡市博多区,吉塚1丁目22-33-2,将軍アパート201号,092-292-8497,,データーなし,4070903465,小島　美智子,2013/10/1※半角で記入してください（例：2013/04/01）,JR吉塚駅東口から南に徒歩５分,3人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,2人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,時分～時分,時分～時分,時分～時分,,利用者の希望に応じて、サービス提供については、24時間対応可能な体制を整えています。8/13~15日、12/30~1/3、土日祝日は休業日,9時00分～18時00分,時分～時分,時分～時分,,利用者の希望に応じて、サービス提供については、24時間対応可能な体制を整えています。,福岡市博多区、福岡市東区,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,交通費実費,利用日前日：無料利用日当日：負担金の50％,データーなし
53,ケアポート箱崎ヘルパーステーション,社会福祉法人（社協以外）,テルウェル西日本株式会社,〒812-0063,福岡市東区,福岡県福岡市東区筥松２－１９－４０２,,092-292-3130,092-292-3138,データーなし,4070802634,嫩　伸一,2009/11/01※半角で記入してください（例：2013/04/01）,ＪＲ箱崎駅徒歩８分　西鉄バス原田バス停徒歩２分,3人,18人,0人,2人,0人,0人,1人,0人,0人,0人,0人,0人,3人,3人,9人,0人,0人,0人,0人,0人,0人,0人,2人,0人,0人,0人,0人,0人,0人,0人,10人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,なし,,0時00分～24時00分,0時00分～24時00分,0時00分～24時00分,,,福岡市東区、福岡市博多区、糟屋郡粕屋町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,通常の事業の実施地域以外の地域の居宅において行う指定訪問介護に要した交通費は、その実費を徴収する。なお、自動車を使用した場合は次ぎの通りとする。(1) 事業所の実施地域から、片道１０キロメートル未満　　３００円(2) 事業所の実施地域から、片道１０キロメートル以上　　５００円,・前日までのご連絡の場合：無料・サービス３時間前までにご連絡がない場合：一律１，０００円・上記以降サービス時間迄ご連絡がない場合：一律２，０００円※利用者の急変、急な入院等は、キャンセル料は請求しません。※介護予防には、キャンセル料は発生しません。,データーなし
54,グッドライフ訪問ケアセンター,営利法人,株式会社キューデン・グッドライフ福岡浄水,〒810-0022,福岡市中央区,福岡県福岡市中央区薬院四丁目13番17号,,092-986-8171,092-524-0080,データーなし,4071002234,川野　直美,2011/03/01※半角で記入してください（例：2013/04/01）,地下鉄　薬院大通り駅　徒歩５分薬院大通りバス停　　　徒歩７分,1人,11人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,4人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,8時30分～17時30分,時分～時分,時分～時分,時分～時分,土曜、日曜、祝日,12/30～1/3は定休日,7時00分～20時00分,7時00分～20時00分,7時00分～20時00分,,,福岡市中央区薬院,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,通常の事業の実施地域以外の地域の居宅において、当該介護サービスを行う場合、要した交通費は実費を徴収する。,・ご利用の前営業日の午後５時までにご連絡いただいた場合　　無料・ご利用の前営業日の午後５時までにご連絡がなかった場合　　介護保険にて定める料金の50％　ただし、利用者の病変など緊急やむを得ない事情がある場合は不要,データーなし
55,ケアエンジェル,営利法人,有限会社エンジェルCo.,〒811-1355,福岡市南区,福岡市南区桧原2丁目35番28号,,092-512-8144,092-212-3444,データーなし,4071101713,藤井　ゆう,2004/10/01※半角で記入してください（例：2013/04/01）,西鉄バス西花畑小学校前　徒歩1分,1人,0人,18人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,年中無休,24時間電話対応,8時00分～22時00分,8時00分～22時00分,8時00分～22時00分,,随時対応,福岡市・春日市・大野城市・筑紫郡那珂川町・太宰府市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,事業所から当該地までの片道のキロ数×20円,,データーなし
56,ヘルパーセンターあおば,その他,介護ケア　ラポール,〒813-0032,福岡市東区,福岡市東区土井２丁目１３－１３－１０２,,092-663-6275,092-663-6276,データーなし,4070802667,堤陽子,2009/12/01※半角で記入してください（例：2013/04/01）,西鉄バス　土井営業所前バス停徒歩１０分,3人,0人,16人,0人,1人,1人,0人,0人,0人,0人,0人,0人,3人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,2人,0人,0人,0人,0人,0人,8時30分～17時30分,時分～時分,時分～時分,時分～時分,土曜、日曜、祝日、１２／３０～１／３,定休日は電話を転送いたしますので連絡が取れるようになっております。,8時00分～22時00分,8時00分～22時00分,8時00分～22時00分,,時間外（早朝６：００～８：００、深夜２２：００～６：００）のご利用につきましてはご相談ください。,福岡市、糟屋郡、古賀市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,１回あたり５ｋｍ毎に１５０円または公共交通機関利用時は実費分,サービス利用日の前日まで・・報酬単価（１０割）＋報酬加算（１０割）の５０％サービス利用の当日・・・・・報酬単価（１０割）＋報酬加算（１０割）の１００％,データーなし
57,いわさきクリニック介護センター,営利法人,株式会社　ケーアイコーポレーション,〒812-0016,福岡市博多区,福岡市博多区博多駅南3丁目5－13,ライオンズプラザ博多駅南612号,092-292-4061,092-292-4062,データーなし,4071000253,廣﨑　はるみ,2000/04/01※半角で記入してください（例：2013/04/01）,西鉄バス　瑞穂バス停より徒歩５分,3人,0人,12人,0人,0人,0人,0人,0人,0人,0人,0人,0人,2人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,12/30～1/3,24時間対応,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,,24時間対応,福岡市、春日市、大野城市、大宰府市、筑紫野市、唐津市、糸島市、古賀市、宗像市、宮若市、粕屋郡,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,事業所から片道15キロ未満　　　　　　　　　　750円事業所から片道15キロ以上～30キロ未満　　 　1500円事業所から片道30キロ以上　　　　　　 　　　2000円,,データーなし
58,ニチイケアセンター香椎,営利法人,株式会社 ニチイ学館,〒813-0001,福岡市東区,福岡県福岡市東区唐原5丁目9-56,,092-674-4318,092-674-4320,データーなし,4070800331,岡林　聡子,2000/04/01※半角で記入してください（例：2013/04/01）,JR九産大前駅より徒歩10分（九州産業大学～国道3号線方面へ　ファミリーマート横点滅信号を左折）,1人,1人,18人,0人,0人,1人,0人,0人,0人,0人,0人,0人,1人,1人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,0時分～0時分,0時分～0時分,0時分～0時分,土曜日　日曜日　国民の祝祭日　１２月３０日～１月３日,,6時00分～22時00分,6時00分～22時00分,6時00分～22時00分,,年中無休,福岡市　粕屋郡新宮町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,公共交通機関 ： 実費　　自動車等 ： １キロあたり１６円,(1)サービス利用日の前営業日の１７時までのご連絡…無料　　　　　　　　　　　　(2)サービス利用日の前営業日の１７時以降のご連絡…基本料金の１割　　　　　　　＊お客様の容態の急変など、緊急且つやむを得ない場合はキャンセル料を頂きません。                                                                                       　                                                                      ＊上表の(2)について、お客様の都合によるキャンセルが頻繁に起こる場合については、キャンセル料を協議の上変更します。,データーなし
59,介護ステーション宮ケ丘,営利法人,有限会社介護ステーション宮ケ丘,〒811-1364,福岡市南区,福岡県福岡市南区中尾２丁目１７－１４,,092-541-7522,092-980-7600,データーなし,4071101655,中村　寛,2004/08/01※半角で記入してください（例：2013/04/01）,西鉄バス、中尾2丁目バス停　徒歩5分,2人,0人,6人,0人,0人,1人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,0時分～0時分,0時分～0時分,0時分～0時分,日曜、祝日、年末（12/30～1/3）,定休日でも必要なら又は緊急の場合は対応可能,8時00分～22時00分,8時00分～22時00分,0時分～0時分,,定休日でも必要なら又は緊急の場合は対応可能,福岡市南区、城南区、中央区、筑紫郡那珂川町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,一律10ｋｍ未満；400円、１０ｋｍ以上；2.5km増すごとに100円加算,基本料金の３０％,データーなし
60,あかり,営利法人,株式会社ゆう,〒814-0161,福岡市早良区,福岡県福岡市早良区飯倉３丁目３９－３－１０１,,092-404-2302,092-404-2303,データーなし,4071402665,藤原裕子,2009/06/01※半角で記入してください（例：2013/04/01）,西鉄バス　原２丁目,1人,1人,9人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～17時00分,9時00分～11時00分,0時分～0時分,0時分～0時分,法人の営業日に準ずる,,7時00分～17時00分,7時00分～17時00分,0時分～0時分,,時間外についてはご利用者と相談により利用可能,福岡市全域,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,実施なし,一律1200円,データーなし
61,ケアラインみなみ風,営利法人,有限会社　風の丘,〒811-1324,福岡市南区,福岡市南区警弥郷１－４－１５　７０２号,,092-588-6505,092-588-6522,データーなし,4071102745,池田　智子,2008/08/01※半角で記入してください（例：2013/04/01）,西鉄バス　警弥郷バス停,5人,1人,5人,0人,0人,0人,1人,0人,0人,0人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,1人,1人,0人,0人,0人,0人,3人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,１２月３１日～１月２日,,7時00分～21時00分,7時00分～21時00分,9時00分～18時00分,,,福岡市南区　　那珂川町春日市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,公共交通機関の実費,500円ヘルパー待機の最低時間給に相当,データーなし
62,訪問介護　ゆりかご,その他,株式会社　YHOトレーディング,〒819-0025,福岡市西区,福岡市西区石丸2丁目42番3号,,092-882-5755,092-882-5775,データーなし,4071201125,平野　由美子,2010/12/01※半角で記入してください（例：2013/04/01）,地下鉄　姪浜駅下車　　姪浜駅から徒歩20分西鉄バス　大町団地口バス停から徒歩3分,0人,6人,3人,18人,1人,0人,0人,0人,2人,0人,0人,0人,0人,0人,4人,4人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,1人,0人,0人,0人,0人,1人,9時00分～18時00分,9時00分～13時00分,時分～時分,時分～時分,定休日：日曜日　祝日　年末年始12月29日より1月3日,24時間電話対応（092-882-5755）,0時00分～0時00分,0時00分～0時00分,0時00分～0時00分,,24時間電話対応（092-882-5755）,福岡市西区・早良区・城南区・中央区・糸島市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,交通費の請求は今のところ請求していない,介護報酬の10％,データーなし
63,社会福祉法人ふくおか福祉サービス協会　博多支部,社会福祉法人（社協以外）,社会福祉法人　ふくおか福祉サービス協会,〒812-0013,福岡市博多区,福岡県福岡市博多区博多駅東一丁目１０番３０号,好友博多駅東ビル２階,092-431-2444,092-431-3000,データーなし,4070902152,猿渡　眞美,2007/04/01※半角で記入してください（例：2013/04/01）,ＪＲ・福岡市営地下鉄「博多」駅　徒歩７分,0人,6人,1人,43人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,5人,5人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,6人,6人,0人,0人,1人,1人,9時00分～20時00分,9時00分～19時00分,0時分～0時分,9時00分～19時00分,日曜日・お盆（8/13～15）・年末年始（12/30～1/3）,電話等によりサービス提供時間帯は、常時連絡が可能な体制とする。,8時00分～20時00分,8時00分～20時00分,0時分～0時分,,休日：日曜日・お盆（8/13～15）・年末年始（12/30～1/3）　　　　　　　　　　　　　　　　　時間外のご利用については相談に応じます。,福岡市博多区,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,事業所からご利用者様宅までの往復交通費（実費）をいただく場合があります。,利用予定日の前日(月曜の場合は前週土曜日)１８時以降のキャンセルは、キャンセル料として総費用の１０％をお支払い頂きます。,データーなし
64,訪問介護　てまり,営利法人,株式会社　きらら,〒814-0165,福岡市早良区,福岡県福岡市早良区次郎丸1丁目14番,,092-834-9770,092-834-9583,データーなし,4071402814,本堂　千秋,2010/08/01※半角で記入してください（例：2013/04/01）,地下鉄次郎丸駅より徒歩3分,1人,0人,7人,0人,0人,0人,1人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,時分～時分,時分～時分,時分～時分,土、日曜日国民の祭日8月13日～15日12月30日～1月3日,休日、時間外も電話にて対応します。,8時00分～19時00分,8時00分～19時00分,8時00分～19時00分,,営業時間外は自費にて対応します。,福岡市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,要する交通費実費をいただきます。,ご利用前日17時までにご連絡いただいた場合　　　無料ご利用前日17時までにご連絡なかった場合　　　　介護保険にて定める料金の５０％,データーなし
65,ゆうはな　訪問介護ステーション,営利法人,株式会社　ゆうはな,〒813-0002,福岡市東区,下原1-20-54,106,092-674-1657,092-674-1658,データーなし,4070803921,松永　健,2014/03/01※半角で記入してください（例：2013/04/01）,西鉄バス　東部青果市場バス停より徒歩１分,0人,2人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,1人,0人,0人,0人,0人,0人,0時00分～24時00分,0時00分～24時00分,0時00分～24時00分,0時00分～24時00分,特に無し,,0時00分～24時00分,0時00分～24時00分,0時00分～24時00分,,,福岡市東区、博多区、中央区、南区、糟屋郡,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,15キロ以上の地域には、交通費１回　５００円となります。,,データーなし
66,げんき　介護井尻,営利法人,(株)日本エルダリーケアサービス,〒811-1311,福岡市南区,福岡県福岡市　南区　横手４丁目１２－１4,日宝サンセーヌ大橋南1004号,092-588-0850,092-588-0851,データーなし,4071101523,大浦　由紀,2004/04/01※半角で記入してください（例：2013/04/01）,的場１丁目バス停より歩いて５分,4人,0人,0人,13人,0人,0人,0人,0人,0人,0人,0人,0人,3人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～17時45分,0時分～0時分,0時分～0時分,0時分～0時分,土曜、日、祝,転送電話により、２４時間対応可能,0時00分～23時59分,0時00分～23時59分,0時00分～23時59分,,２４時間対応,福岡市全域、春日市、大野城市、那珂川町、筑紫野市、大宰府市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,今のところ、サービス区域以外の利用者様はおられません。,前日の18時までの連絡に関しては、無料18時以降からサービス時間3時間前までは６３０円それ以降からサービス時間までは１２６０円のキャンセル料を設定いたしております。,データーなし
67,ライフ介護サービス,営利法人,有限会社　ミツミプラント,〒814-0171,福岡市早良区,福岡県福岡市早良区野芥2丁目48番19号,,092-874-7830,092-874-7831,データーなし,4071401030,田籠　康純,2003/03/01※半角で記入してください（例：2013/04/01）,地下鉄　七隈線　野芥駅より徒歩10分　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　西鉄バス　野芥バス停より徒歩5分,2人,1人,14人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,0時0分～0時0分,0時0分～0時0分,日曜　祝日,12月31日～1月3日　休業,7時00分～22時00分,7時00分～22時00分,0時0分～0時0分,,日曜、祝日の利用については、利用者様やご家族と相談の上、決定する。,福岡市　前原市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,当該介護サービスを行う地点までにかかる費用全額を実費にて請求。,サービス利用の前日までに連絡がある場合は無料。サービス利用の前日までに連絡がなかった場合は利用者負担の100％ただし、利用者の病状の急変等、緊急やむをえない場合は無料。,データーなし
68,在宅ケアサービス　やまびこ,営利法人,株式会社　インテラス,〒814-0033,福岡市早良区,福岡市早良区有田５－８－１５,,092-874-2251,092-874-2252,データーなし,4071400669,田中　真貴子,2001/09/01※半角で記入してください（例：2013/04/01）,西鉄バス　講倫館南口徒歩2分　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　地下鉄七隈線　賀茂駅10分,2人,1人,10人,0人,0人,0人,0人,0人,0人,0人,0人,0人,2人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,8/13～8/15  12/30～01/03,,8時00分～20時00分,8時00分～20時00分,8時00分～20時00分,,,早良区、城南区、西区、中央区,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,事業所から片道おおむね１５km未満無料　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　事業所から片道おおむね１５km以上１km２３円,利用予定日の前日ご日までに申し出があった場合は無料当利用時間の３時間前までにご連絡をいただいた場合に840円当利用時間の３時間前までにご連絡をいただけなかった場合1260円,データーなし
69,アップルハート福岡南サポートセンター,営利法人,麻生介護サービス株式会社,〒812-0894,福岡市博多区,福岡市博多区諸岡1-23-31ドミールシャトー諸岡小串ビル101号,,092-502-5613,092-502-5612,データーなし,4070902251,岩下　紀美子,2007/12/01※半角で記入してください（例：2013/04/01）,西鉄バス諸岡バス停下車徒歩3分,12人,0人,30人,0人,1人,0人,1人,0人,0人,0人,0人,0人,8人,7人,0人,0人,0人,0人,0人,0人,3人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,0時分～0時分,0時分～0時分,0時分～0時分,土日・祝日・12月29日～1月3日,,0時00分～24時00分,0時00分～24時00分,0時00分～24時00分,,居宅支援専門員の計画するサービス,福岡市、春日市、那珂川町、大野城市、粕屋郡、太宰府市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,当事業所と利用者宅までの標準的な訪問経路の区間の内、サービス提供地域以外の区間での公共交通機関利用実費とする。なお、自動車を使用した場合の交通費は、当事業所と利用者宅までの標準的な訪問経路の区間の内、サービス提供地域以外の区間を[12円／km]として計算し、これを燃料代として受領する。,利用者の都合により、何ら申し出なく訪問介護がキャンセルされた場合又はサービス実施予定の24時間以内にサービスの中止（キャンセル）の申し出があった場合には、当事業者は、キャンセル料として介護報酬告示上の額の1割の額を受領することができるものとする。ただし、利用者の容態の急変等必要かつやむを得ない事情がある場合には、キャンセル料は発生しないものとする。,データーなし
70,ヘルパーステーション小さなたね,医療法人,ヘルパーステーション小さなたね,〒814-0172,福岡市早良区,福岡県福岡市早良区梅林６－２３－３,,092-874-3051,092-874-3052,データーなし,4071402921,水野英尚,2011/04/01※半角で記入してください（例：2013/04/01）,バス及び地下鉄,2人,0人,0人,7人,0人,0人,0人,0人,0人,0人,0人,0人,2人,2人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,時分～時分,時分～時分,12月31日から1月3日まで※日曜及び祝祭日は事業所は定休日ですが、訪問介護サービスは提供しています。,,8時00分～21時00分,8時00分～21時00分,時分～時分,,,福岡市内及び近郊,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,事業所から２０ｋｍ範囲内は無料（それを超える場合には、１ｋｍ毎に１００円を徴収）,２４時間までのご連絡はの場合は無料。１２時間前までにご連絡の場合は、１提供あたりの利用料の１０％を請求。１２時間前までにご連絡のない場合は、１提供あたりの利用料の２０％を請求させて頂きます。尚、利用者の体調不良等の理由の場合はキャンセル料はいただきません。,データーなし
71,ヘルパーステーションほっと・ふぁみりぃ,営利法人,有限会社　ほっと・ふぁみりぃ,〒811-1321,福岡市南区,福岡市南区柳瀬２－４－２,,092-589-3371,092-589-3372,データーなし,4071102042,猪野　圭祐,2005/12/01※半角で記入してください（例：2013/04/01）,弥永１丁目バス停　徒歩５分,1人,2人,6人,4人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,0人,0人,8時00分～18時00分,0時分～0時分,0時分～0時分,8時00分～18時00分,12/31から1/2まで,,6時00分～22時00分,0時分～0時分,0時分～0時分,,,福岡市南区、博多区、春日市、那珂川町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,・事業所から片道おおむね１０キロメートル未満　無料・事業所から片道おおむね１０キロメートル以上　３００円,・当日キャンセルの場合　1500円,データーなし
72,在宅支援センター　ひだまり,ＮＰＯ,特定非営利活動法人　在宅支援センター サポートランド二十一,〒814-0162,福岡市早良区,福岡県福岡市早良区星の原団地32-104,,092-874-5003,092-874-5009,データーなし,4071401535,小栁　喜代志,2004/08/01※半角で記入してください（例：2013/04/01）,天神・西新より西鉄バス、星の原団地行きに乗車、終点星の原団地バス停より徒歩３分,11人,0人,47人,7人,0人,0人,0人,1人,0人,0人,0人,0人,9人,6人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,1人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,12/31～01/02,,7時00分～21時00分,7時00分～21時00分,7時00分～21時00分,,,福岡市及びその近郊,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,事業の実施地域以外での介護サービスを行う場合は、自費負担として事業所の規定に基づいた額を負担して頂きます。,利用予定日の前日までに申し出がなかった場合、サービス１時間分(通常１割分)の利用者負担金額を頂きます。,データーなし
73,ケアパルクたんぽぽ,営利法人,有限会社　たんぽぽの家,〒814-0175,福岡市早良区,福岡市早良区田村7丁目24-86-101,,092-873-7801,092-873-7805,データーなし,4071402434,梅崎　公子,2008/04/01※半角で記入してください（例：2013/04/01）,西鉄バス　三軒屋バス停　徒歩3分,1人,0人,4人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,１２月３１～１月１日,,8時30分～17時30分,8時30分～17時30分,8時30分～17時30分,,,福岡市、春日市、那珂川町,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,算定しない,訪問予定時間直前であれば介護報酬１００％徴収。体調不良などで受診した場合、徴収しない。,データーなし
74,アイビー介護ステーション,営利法人,有限会社アイビーマネジメント,〒814-0103,福岡市城南区,福岡市城南区鳥飼6-21-7-201,,092-404-0125,092-404-0126,データーなし,4071401832,小林 正治,2005/09/01※半角で記入してください（例：2013/04/01）,地下鉄「別府」駅下車、徒歩７分,3人,0人,18人,0人,1人,0人,0人,0人,0人,0人,0人,0人,1人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,１２月３０日～１月２日,,8時00分～20時00分,8時00分～20時00分,8時00分～20時00分,,,福岡市・前原市・糸島郡,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,実施地域以外ではサービスを行なわない。,,データーなし
75,介護センター　朝凪,営利法人,ＦＡＩＴＨ,〒810-0073,福岡市中央区,福岡県福岡市中央区舞鶴1丁目2-33,ライオンズマンション天神1003,092-711-8567,092-711-8569,データーなし,4071001558,藤田　知佳子,2005/12/01※半角で記入してください（例：2013/04/01）,西鉄バス　舞鶴1丁目バス停より徒歩１分,3人,1人,4人,3人,1人,0人,0人,0人,0人,0人,0人,0人,1人,1人,1人,1人,0人,0人,0人,0人,0人,0人,0人,0人,1人,1人,0人,0人,1人,1人,0人,0人,0人,0人,0人,0人,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,1月1日（但し、特別な需要がある場合にはこの限りではない。）,電話等により、24時間常時連絡可能な体制,9時00分～18時00分,9時00分～18時00分,9時00分～18時00分,,特別の需要がある場合にはこの限りではない。,福岡市・糸島市,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,データーなし,訪問介護に要した交通費は、その実費を徴収する。なお、自動車を使用した場合は次の額を徴収する。事務所から、片道おおむね　10ｋｍ未満　　0円事務所から、片道おおむね　10ｋｍ以上　300円,当日のご利用料金の10％（自己負担相当額）,データーなし
